Start,End,Duration,Type,Magnitude
2001-01-01,2002-07-01,546,Stable,0.0
2002-10-01,2003-04-01,182,Contraction,-2.190011388585365
2003-07-01,2004-01-01,184,Expansion,3.2614598825468644
2004-04-01,2005-04-01,365,Contraction,-3.303759214459886
2005-07-01,2005-10-01,92,Expansion,0.6155928042165657
2006-01-01,2006-04-01,90,Contraction,-0.012531242697572331
2006-07-01,2006-10-01,92,Expansion,0.5609437095272227
2007-01-01,2007-01-01,0,Contraction,-0.4025481710853631
2007-04-01,2007-04-01,0,Expansion,0.26317786294388723
2007-07-01,2007-10-01,92,Contraction,-0.5128240950414069
2008-01-01,2008-07-01,182,Expansion,2.103220256074086
2008-10-01,2008-10-01,0,Contraction,-0.14927021824278697
2009-01-01,2009-01-01,0,Expansion,1.4223777240247557
2009-04-01,2009-04-01,0,Contraction,-1.796636626563953
2009-07-01,2010-04-01,274,Expansion,6.941140050891681
2010-07-01,2011-01-01,184,Contraction,-7.006160294479761
2011-04-01,2011-04-01,0,Expansion,0.07502015265743989
2011-07-01,2012-01-01,184,Contraction,-1.2230263027899468
2012-04-01,2012-10-01,183,Expansion,0.7158553734218076
2013-01-01,2013-01-01,0,Contraction,-1.2988303796560121
2013-04-01,2013-04-01,0,Expansion,0.006084259869106212
2013-07-01,2013-07-01,0,Contraction,-0.23696041866496076
2013-10-01,2013-10-01,0,Expansion,0.15672987405865202
2014-01-01,2014-01-01,0,Contraction,-0.20465927559087627
2014-04-01,2014-10-01,183,Expansion,2.7062981174700917
2015-01-01,2015-01-01,0,Contraction,-0.5720464382308466
2015-04-01,2015-04-01,0,Expansion,0.060229995716266416
2015-07-01,2016-01-01,184,Contraction,-1.5127731542017253
2016-04-01,2016-04-01,0,Expansion,0.7999345901852184
2016-07-01,2016-07-01,0,Contraction,-0.7887666439584153
2016-10-01,2016-10-01,0,Expansion,0.010153895676317859
2017-01-01,2017-01-01,0,Contraction,-0.2268048114165926
2017-04-01,2017-04-01,0,Expansion,0.6709693726804056
2017-07-01,2017-10-01,92,Contraction,-0.7852030618052139
2018-01-01,2018-04-01,90,Expansion,0.46351151331590756
2018-07-01,2018-10-01,92,Contraction,-0.9660388014958492
2019-01-01,2019-07-01,181,Expansion,1.4735247803879206
2019-10-01,2020-01-01,92,Contraction,-0.9658959115049748
2020-04-01,2021-04-01,365,Expansion,13.854475907577532
2021-07-01,2021-10-01,92,Contraction,-8.009126881553284
2022-01-01,2022-07-01,181,Expansion,3.052440258165678
2022-10-01,2024-04-01,548,Contraction,-8.971742881962852
2024-07-01,2024-07-01,0,Expansion,0.3239314210749171
