Start,End,Duration,Type,Magnitude
2001-01-01,2002-07-01,546,Stable,0.0
2002-10-01,2002-10-01,0,Expansion,0.142603794639812
2003-01-01,2003-04-01,90,Contraction,-3.8151140295672614
2003-07-01,2004-01-01,184,Expansion,1.0953035844674845
2004-04-01,2005-04-01,365,Contraction,-2.598711621817593
2005-07-01,2006-01-01,184,Expansion,0.7562368995766265
2006-04-01,2006-04-01,0,Contraction,-0.08119713889559943
2006-07-01,2007-01-01,184,Expansion,0.9095765619207823
2007-04-01,2007-04-01,0,Contraction,-0.05444833150709849
2007-07-01,2008-01-01,184,Expansion,0.7040139475614757
2008-04-01,2008-04-01,0,Contraction,-0.48830354134249365
2008-07-01,2009-01-01,184,Expansion,4.1258008782213285
2009-04-01,2009-04-01,0,Contraction,-0.9317197697905852
2009-07-01,2010-04-01,274,Expansion,2.758817520997063
2010-07-01,2010-10-01,92,Contraction,-6.318036233637105
2011-01-01,2011-01-01,0,Expansion,0.5286148116148062
2011-04-01,2011-04-01,0,Contraction,-0.5453083385035158
2011-07-01,2012-01-01,184,Expansion,0.3902100510163007
2012-04-01,2013-07-01,456,Contraction,-1.514067742304048
2013-10-01,2014-04-01,182,Expansion,0.7470065218487447
2014-07-01,2014-07-01,0,Contraction,-0.29757302068256264
2014-10-01,2015-10-01,365,Expansion,0.7362341060462043
2016-01-01,2016-01-01,0,Contraction,-0.03730637612219434
2016-04-01,2016-07-01,91,Expansion,0.15214618286115078
2016-10-01,2017-01-01,92,Contraction,-0.6425674617408319
2017-04-01,2017-07-01,91,Expansion,0.39065171027463563
2017-10-01,2018-07-01,273,Contraction,-0.818963020070921
2018-10-01,2019-07-01,273,Expansion,1.294556586892325
2019-10-01,2019-10-01,0,Contraction,-0.015467483863909504
2020-01-01,2021-07-01,547,Expansion,97.74877278927013
2021-10-01,2022-04-01,182,Contraction,-94.91310322763793
2022-07-01,2022-10-01,92,Expansion,1.5598155718097395
2023-01-01,2024-01-01,365,Contraction,-5.300440388280318
2024-04-01,2024-04-01,0,Expansion,0.45173000098092286
2024-07-01,2024-07-01,0,Contraction,-0.07179983870442053
